CLAVE,NOMBRE
1,Acelga cruda
2,Acelga picada cocida
3,Alcachofa mediana cocida
4,Apio cocido
5,Apio crudo
6,Arugula cruda
7,Berenjena picada cocida
8,Berro crudo
9,Betabel crudo
10,Betabel crudo rallado
11,Bledos crudos
12,Brocoli cocido
13,Brocoli crudo
14,Calabacita alargada cruda
15,Calabacita redonda cruda
16,Calabacita de Castilla cocida
17,Cebolla blanca rebanada
18,Cebolla cocida
19,Cebolla morada rebanada
20,Cebollita de cambray sin raiz
21,Cebollita en salmuera
22,Champinon cocido entero
23,Champinon cocido rebanado
24,Champinon crudo entero
25,Champinon crudo rebanado
26,Chayote cocido picado
27,Chayote crudo
28,Chepil crudo
29,Chícharo cocido sin vaina
30,Chicharo cocido con vaina
31,Chicharo en vaina cocido
32,Chicoria cruda
33,Chalacas crudas
34,Chilacayote crudo
35,Chile chilaca
36,Chile chipotle seco
37,Chile costeno
38,Chile cristalino
39,Chile cuaresmeno
40,Chile de arbol seco
41,Chile habanero
42,Chile jalapeno
43,Chile poblano
44,Chiles secos
45,Cilantro picado crudo
46,Clavito hongo crudo
47,Col cocida picada
48,Col cruda picada
49,Col morada cruda picada
50,Colesita de Bruselas cocida
51,Coliflor cocida
52,Coliflor cruda
53,Coliflor verde cocida
54,Coliflor verde cruda
55,Colinabo crudo
56,Cozaron de alcachofa crudo
57,Corazon de lechuga crudo
58,Corazon de palmito crudo
59,Creson cocido
60,Creson limpio crudo
61,Crucetas crudas
62,Cuitlacoche cocido
63,Echalot
64,Ejotes cocidos picados
65,Elotitos de cambray
66,Envidia cruda
67,Esparragos crudos
68,Espinaca cocida
69,Espinaca cruda picada
70,Flor de calabaza cocida
71,Flor de calabaza cruda picada
72,Flor de colorín cocida
73,Flor de colorín cruda
74,Flor de garambullo cruda
75,Flor de maguey cruda
76,Flor de Yuca cruda
77,Germen de alfalfa cruda
78,Germen de lenteja crudo
79,Germen de soya cocidpo
80,Granos de elote crudos
81,Haba verde
82,Hojas de amaranto cocidas
83,Hojas de amaranto crudas
84,Hojas de chicoria cruda
85,Hojas de dientes de león
86,Hojas de pata de paloma
87,Hojas de remolacha  crudas
88,Hojas de remolacha hervida
89,Hongos porrtobello crudo
90,Hongos shiitake deshidratados
91,Hongos crudos
92,Huanzontle
93,Huitlacoche cocido
94,Ibes frescos
95,Jicama picada
96,Jitomate
97,Jitomate bola
98,Jitomate cereza
99,Jitomate deshidratado
100,Jitomate guaje o saladet
101,Jitomate verde
102,Jitomatillo miltomate
103,Jugo de tomate
104,Jugo de verduras
105,Jugo de zanahoria
106,Lechuga
107,Lengua de vaca
108,Lenteja germinada cocida
109,Malva
110,Mezcla de verduras congeladas cocidas sin sal
111,Morillas deshidratadas
112,Morillas frescas
113,Nabo cocido
114,Nopal cocido
115,Nopal crudo
116,Nopal crudo de cambray
117,Palmito enlatado
118,Papaloquite crudo
119,Papilla de verduras mixtas
120,Pepinillos crudos
121,Pepinillos dulces
122,Pepino con cascara rebanado
123,Perejil crudo picado
124,Pimiento amarillo crudo chico
125,Pimiento cocido
126,Pimiento fresco
127,Pimiento rojo crudo chico
128,Pimiento verde crudo chico
129,Poro crudo
130,Puerro crudo
131,Puerro hervido sin sal
132,Pure de tomate enlatado
133,Quelite crudo
134,Rabano crudo rebanado
135,Romerito crudo
136,Salsa de chile
137,Salsifi
138,Semilla de guaje verde
139,Setas cocidas
140,Setas crudas
141,Tomate verde
142,Tomatitos tomatiles
143,Verdolaga cocida
144,Verdolaga cruda limpia
145,Verdura mexcla congelada, cocida sin sal
146,Xoconostle
147,Yemitas (ongos crudas
148,Yerbamora cruda
149,Zanahoria miniatura cruda
150,Zanahoria picada cruda
151,Zanahoria rallada cruda
152,Agua de coco
153,Albaricoque en almibar
154,Albaricoque en mitades enlatados en jugo
155,Albaricoque en mitades enlatados en agua
156,Anona
157,Arandano fresco
158,Arandano seco con azucar
159,Blueberries
160,Blueberries congeladas
161,Blueberries congeladas con azucar
162,Blueberries en almibar
163,Breba
164,Caimito blanco o morado
165,Calabaza melon
166,Cana de azucar
167,Capulin
168,Carambolo o Carambola
169,Cereza
170,Cereza congeladas
171,Cerezas en almibar
172,Cerezas maschino enlatadas
173,Chabacano
174,Chagua
175,Cherimoya picada
176,Chicozapote
177,Chirimoya
178,Ciricote
179,Ciruela criolla roja o amarilla
180,Ciruela negra
181,Ciruela pasa deshuesada
182,Cocktail de frutas en almibar
183,Cocktail de frutas enlatado en agua
184,Cocktail de frutas enlatado en jugo de frutas
185,Cocoyol
186,Coloc
187,Cundeamor
188,Dátil seco
189,Durazno amarillo
190,Durazno con azúcar congelado
191,Durazno en almibar
192,Durazno enlatado en agua
193,Durazno enlatado en jugo
194,Durazno prisco
195,Frambuesa
196,Fresa entera
197,Fresa rebanada
198,Fresas congeladas con azucar
199,Fresas congeladas sin azucar
200,Fruta de la pasion
201,Fruta picada
202,Fruto del pan
203,Gajos de mandarina
204,Gajos de naranja
205,Gajos de toronja
206,Giotilla
207,Granada chica
208,Granada roja
209,Grosellas
210,Grosellas en almibar
211,Grosellas negras
212,Grosellas rojas o blancas
213,Guanabana
214,Guayaba
215,Guayaba rosa
216,Higo
217,Higo deshidratado
218,Jinicuil
219,Jugod de limon
220,Jugo de mamey
221,Jugo de mandarina natural
222,Jugo de mango
223,Jugo de naranja natural
224,Jugo de papaya
225,Jugo de toronja natural
226,Kiwi
227,Lichis
228,Lima
229,Limon real
230,Mamey
231,Mandarina
232,Mandarina reyna
233,Mango ataulfo
234,Mango criollo
235,Mango en almibar enlatado
236,mango manila
237,Mango petacon
238,Mango picado
239,Mangosteno enlatado en jarabe
240,Manzana
241,Manzana al vapor
242,Manzana amarilla
243,Manzana cocida
244,Manzana deshidratada
245,Manzana en almibar
246,Manzana en almibar enlatada
247,Manzana golden
248,Manzana granny
249,Manzana picada
250,Manzana roja
251,Manzana sin cascara
252,Manzana verde
253,Manzana Washington
254,Maracuya
255,Maracuya  rebanado
256,Maranon fresco
257,Melon
258,Melon cantaloupe
259,Melon chico
260,Melon picado
261,Melon valenciano
262,Melon valenciano picado
263,Melon verde picado
264,Membrillo
265,Moras
266,Nanche agrio
267,Naranja
268,Naranja agria
269,Naranja cajera
270,Naranja chica
271,Naranja sin semilla
272,Naranja valenciana
273,Naranja concentrada
274,Nectarina
275,Nispero
276,Níspero del japón
277,Orejones de chabacano
278,Orejones de durazno
279,Orejones de manzana
280,Orejones de pera
281,Papaya hawaiana
282,Papaya picada
283,Papilla de chabacano con tapioca
284,Papilla de ciruela con tapioca
285,Papilla de durazno
286,Papilla de frutas mixtas
287,Papilla de guayaba y papaya con tapioca
288,Papilla de mango con tapioca
289,Papilla de manzana
290,Papilla de manzana y chabacano
291,Papilla de pera
292,Papilla de pera y piña
293,Papilla de platano y piña con tapioca
294,Pasas
295,Pasitas
296,Pasitas en semilla
297,Pera
298,Pera asiática
299,Pera bartlett
300,Pera d´anjou
301,Pera de agua
302,Pera de San Juan
303,Pera deshidratada
304,Pera en almibar
305,Pera mantequilla
306,Pera picada
307,Pera piña
308,Pera rebanada
309,Pera roja
310,Pera roja rebanada
311,Perón
312,Perón picado
313,Pérsimo
314,Pérsimo japonés
315,Piña en almibar
316,Piña en almibar
317,Piña picada
318,Piña rebanada
319,Pitahaya
320,Plátano
321,Plátano deshidratado
322,Plátano dominico
323,Plátano machacado
324,Plátano macho
325,Plátano macho rebanado
326,Plátano manzano
327,Plátano morado
328,Pomarosa
329,Pomelo
330,Prisco
331,Pulpa de fresa
332,Pulpa de guanabana
333,Pulpa de mamey
334,Pulpa de tamarindo
335,Pulpa de zapote negro
336,Puré de ciruela pasa
337,Puré de guayaba
338,Puré de guayaba gerber 2A etapa
339,Puré de manzana
340,Puré de manzana sin azúcar
341,Puré de platano
342,Rambután
343,Rambután en almibar
344,Rollo de frutas
345,Salsa de arandanos en gelatina enlatada
346,Sandia picada
347,Sandia rebanada
348,Saramuyo
349,Semilla de jinicuil
350,Tamarindo
351,Tamarindo (pulpa sin azúcar)
352,Tamarindo pelado
353,Tangerina
354,Tejocote
355,Toronja
356,Toronja en gajos
357,Toronja enlatada con jugo
358,Toronjas en almibar
359,Tuna
360,Tuna cardona
361,Tuna picada
362,Tuna roja
363,Uva
364,Uva blanca
365,Uva con semilla
366,Uva roja
367,Uva sin semilla
368,Uva verde
369,Uva verde sin semilla
370,Uvas enlatadas en agua
371,Xocoyol
372,Zapote
373,Zapote amarillo
374,Zapote blanco
375,Zapote borracho
376,Zapote negro
377,Zapote negro limpio
378,Zarzamora
379,Zarzamora congelada sin azúcar
380,Zarzamora en almibar
381,Alegría natural
382,Alegría tostada
383,Amaranto cocido
384,Amaranto tostado
385,Anillos de trigo azucarados de colores
386,Arroz cocido
387,Arroz crudo
388,Arroz inflado con cocoa
389,Arroz inflado natural
390,Arroz integral cocido
391,Arroz integral crudo
392,Arroz precocido cocido
393,Arroz precocido crudo
394,Arroz pulido crudo
395,Arroz salvaje cocido
396,Arroz salvaje crudo
397,Atole en polvo
398,Atole en sobre
399,Atole vitaminado
400,Avena cocida
401,Avena con canela y especias
402,Avena con manzana y canela
403,Avena con pasitas y especias
404,Avena en hojuelas
405,Avena instantánea PLUS varios sabores
406,Avena instantánea preparada
407,Avena instantánea varios sabores
408,Avena integral
409,"Avena integral con pasitas, instantánea preparada"
410,Avena Quaker Old fashion
411,Bagel
412,Bagel de ajo
413,Bagel de ajonjolí
414,Bagel de avena
415,Bagel de canela y pasas
416,Bagel de cebolla
417,Bagel integral
418,Baguette
419,Barquillo
420,Barra Special K varios sabores
421,Barra Stila varios sabores
422,Barrita de avena
423,Barrita de granola sabor manzana
424,Birote
425,Bolillo
426,Bolillo integral
427,Bolillo integral sin migajón
428,Bolillo sin migajón
429,Bollo de hamburguesa
430,Bollos para hamburguesa
431,burbujas de maíz azucaradas
432,Camote al honor
433,Camote amarillo
434,Camote cocido
435,Camote con miel
436,Camote con naranja
437,Camote en dulce
438,Camote largo
439,Camote poblano (dulce)
440,Canelones
441,Cáscara de papa cruda
442,Cebada
443,Cebada perla cocida
444,Centeno
445,Cereal Avena Flakes
446,Cereal Chewy para niños varios sabores
447,Cereal con almendras y pasas
448,Cereal de arroz
449,Cereal de arroz inflado con chocolate
450,Cereal con avena con maple
451,"Cereal de avena integral, seco"
452,Cereal de galleta de chispa de chocolate
453,Cereal de maíz reventado  con azúcar
454,Cereales de maíz reventado sabor chocolate y crema de cacahucate
455,Cereal de salvado de trigo
456,Cereal de trigo con canela
457,Cereal de trigo sabor frutas
458,Cereal integral con pasitas
459,Cereal Multibran Flakes
460,Cereal Multibran pasas
461,Cereal multigrano
462,Cereal sin azúcar
463,Codito crudo
464,Coditos con crema deshidratados
465,Couscous
466,Crepa
467,Crepas para rellenar
468,Crepas saladas
469,Croutones
470,Cuadritos de avena
471,Cuadritos de avena con salvado
472,Cúrcuma
473,Elote amarillo cocido
474,Elote amarillo congelado
475,Elote amarillo crudo
476,Elote amarillo desgranado cocido
477,Elote amarillo desgranado crudo
478,Elote amarillo enlatado
479,Elote blanco cocido
480,elote blanco desgranado
481,Elote crudo
